respondent_id,_true_persona_segment,_is_noisy_responder,_is_outlier,A1_age_group,A2_residency_status,A3_emirate,A4_occupation_status,A5_gender,B1_stress_frequency,B2_stress_severity_1to10,B4_coping_ability,C1_stigma_comfort_1to5,C2_stigma_judged,D1_interest_in_tool,D3_recommend_likelihood_1to5,E1_ai_comfort_1to5,E4_ai_rec_likelihood_1to5,E5_trust_preference,F1_would_use,F2_would_pay,F4_language_preference,B3_Academics / studies,B3_Career or work,B3_Cultural or religious expectations,B3_Family expectations,B3_Friendships or romantic relationships,B3_Future or financial uncertainty,B3_Other,B3_Social media or self-image,B5_Family,B5_Friends,B5_No one,B5_Online community,B5_Other,B5_Religious or community figure,B5_Teacher or mentor,B5_Therapist or counselor,C3_Cost,C3_Dont know where to go,C3_Family disapproval,C3_Fear of being judged,C3_Feel its not serious enough,C3_Lack of privacy,C3_Lack of time,C3_Nothing stops me,D2_24/7 chat-based support,D2_Academic or work-life coaching,D2_Access to licensed therapists,D2_Crisis support,D2_Mood tracking over time,D2_Peer community my age,D2_Personalized advice,D2_Quick stress relief techniques,E2_Accuracy or safety of advice,E2_Cant replace real therapy,E2_Conflicts with religious or cultural values,E2_Lack of real empathy,E2_No real concerns,E2_Privacy or data security,E3_Built with mental health professionals,E3_Endorsed by religious or community leaders,E3_Free or low-cost access,E3_Nothing would increase trust,E3_Option to escalate to human,E3_Positive reviews from peers,E3_Strong privacy guarantees,F3_In-person workshops,F3_Mobile app,F3_Social media-based content,F3_Website,F3_WhatsApp or chat-based
547,Distressed_Skeptic,0,0,15-17,Expatriate resident,Sharjah,In school (middle/high school),Female,Sometimes,8,Not sure,3,"Yes, a lot",Not sure,2,2,2,Human professional only,No,Not sure,Other,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
548,Curious_Pragmatist,0,0,15-17,Expatriate resident,Ras Al Khaimah,In school (middle/high school),Male,Often,2,"No, not really",3,Somewhat,Probably,4,2,4,Human professional only,Maybe,Only if free version available,English,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1
549,Curious_Pragmatist,0,0,25-27,Expatriate resident,Sharjah,Both studying and working,Male,Sometimes,4,Somewhat,3,Not really,Probably,2,4,3,AI + human (hybrid),Maybe,"Yes, willing to pay",English,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1
550,Distressed_Skeptic,0,0,25-27,International student (short-term),Umm Al Quwain,Currently not studying or working,Prefer not to say,Often,8,Somewhat,2,"Yes, a lot",Definitely not,2,1,1,Human professional only,No,Not sure,English,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
551,Curious_Pragmatist,0,0,21-24,UAE National (Emirati),Abu Dhabi,In college or university,Male,Sometimes,5,Somewhat,3,Somewhat,Not sure,4,4,3,AI + human (hybrid),Maybe,Only if free version available,Arabic,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
552,Low_Need_Indifferent,0,0,25-27,UAE National (Emirati),Sharjah,Working professional,Female,Rarely,2,"Yes, definitely",4,"Yes, a lot",Definitely not,1,3,2,Human professional only,Maybe,No,Both English and Arabic,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
553,Distressed_Skeptic,0,0,25-27,Expatriate resident,Dubai,Working professional,Male,Often,9,"No, not really",2,"Yes, a lot",Probably not,3,1,2,Human professional only,No,No,English,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1
554,Distressed_Skeptic,0,0,15-17,Expatriate resident,Abu Dhabi,In school (middle/high school),Female,Almost always,8,Not sure,1,Somewhat,Probably not,1,2,2,Human professional only,Maybe,Only if free version available,Arabic,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
555,Distressed_Skeptic,0,1,25-27,Expatriate resident,Ajman,Working professional,Female,Almost always,10,Not sure,1,"Yes, a lot",Probably not,1,5,5,AI + human (hybrid),No,No,English,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0
556,Curious_Pragmatist,0,0,18-20,Expatriate resident,Dubai,Currently not studying or working,Male,Sometimes,7,Not sure,3,Not really,Probably,4,3,3,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",Both English and Arabic,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1
557,Resilient_Optimizer,0,0,18-20,Expatriate resident,Abu Dhabi,In college or university,Prefer not to say,Sometimes,4,"Yes, definitely",5,Not really,Probably not,5,3,3,No preference,"Yes, definitely",Only if free version available,English,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1
558,Distressed_Skeptic,0,0,15-17,UAE National (Emirati),Dubai,In school (middle/high school),Female,Often,8,Not sure,2,"Yes, a lot",Probably not,3,1,3,Human professional only,Maybe,Not sure,Arabic,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0
559,Distressed_Skeptic,0,0,18-20,Expatriate resident,Sharjah,In college or university,Male,Almost always,8,"No, not really",3,"Yes, a lot",Definitely,2,2,2,No preference,Maybe,No,English,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0
560,Distressed_Skeptic,0,0,12-14,Expatriate resident,Abu Dhabi,In school (middle/high school),Male,Often,7,"Yes, definitely",2,"Yes, a lot",Definitely not,2,1,1,AI + human (hybrid),"Yes, definitely",No,English,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0
561,Curious_Pragmatist,0,0,25-27,Expatriate resident,Dubai,Working professional,Female,Sometimes,6,Not sure,4,"Yes, a lot",Not sure,3,3,3,AI on its own,"Yes, definitely","Yes, willing to pay",Both English and Arabic,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
562,Distressed_Skeptic,0,0,21-24,Expatriate resident,Dubai,In college or university,Male,Almost always,7,"No, not really",2,"Yes, a lot",Definitely not,2,2,2,Human professional only,No,Not sure,Arabic,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1
563,Curious_Pragmatist,1,0,15-17,Expatriate resident,Sharjah,In school (middle/high school),Female,Never,4,Somewhat,3,Not at all,Definitely not,1,4,3,AI + human (hybrid),Maybe,No,English,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0
564,Distressed_Skeptic,0,0,15-17,UAE National (Emirati),Sharjah,In school (middle/high school),Male,Often,8,"No, not really",1,Somewhat,Definitely not,2,1,3,Human professional only,No,No,Arabic,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
565,Curious_Pragmatist,0,0,18-20,UAE National (Emirati),Ajman,In college or university,Male,Sometimes,6,Somewhat,4,Somewhat,Probably,3,3,5,AI + human (hybrid),"Yes, definitely",Only if free version available,English,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
566,Tech_Savvy_Trusting,0,0,12-14,International student (short-term),Dubai,In school (middle/high school),Male,Sometimes,7,Somewhat,2,Not really,Definitely,4,5,5,AI + human (hybrid),Maybe,Only if free version available,English,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
567,Distressed_Skeptic,0,0,18-20,UAE National (Emirati),Dubai,Currently not studying or working,Female,Often,9,Not sure,1,"Yes, a lot",Probably not,2,2,2,Human professional only,No,No,English,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0
568,Low_Need_Indifferent,0,0,25-27,Expatriate resident,Abu Dhabi,Both studying and working,Male,Sometimes,4,"Yes, definitely",3,Not really,Probably not,2,1,1,No preference,No,No,English,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1
569,Curious_Pragmatist,0,0,15-17,Expatriate resident,Sharjah,In school (middle/high school),Male,Sometimes,6,Not sure,2,Not really,Definitely,3,4,5,AI + human (hybrid),Maybe,Only if free version available,English,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1
570,Curious_Pragmatist,0,0,18-20,Expatriate resident,Ras Al Khaimah,In college or university,Female,Sometimes,6,Somewhat,3,Somewhat,Not sure,4,3,3,AI on its own,"Yes, definitely",Only if free version available,Both English and Arabic,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0
571,Tech_Savvy_Trusting,0,0,21-24,UAE National (Emirati),Sharjah,Working professional,Female,Often,7,"Yes, definitely",4,Not at all,Probably,4,4,4,AI + human (hybrid),"Yes, definitely",Not sure,Both English and Arabic,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
572,Distressed_Skeptic,0,0,15-17,Expatriate resident,Abu Dhabi,In college or university,Male,Sometimes,8,Not sure,2,"Yes, a lot",Probably not,2,1,2,Human professional only,No,No,Arabic,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
573,Resilient_Optimizer,0,0,18-20,Expatriate resident,Abu Dhabi,In college or university,Female,Often,4,Somewhat,4,Not at all,Definitely,4,3,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
574,Tech_Savvy_Trusting,0,0,21-24,Expatriate resident,Abu Dhabi,Working professional,Male,Sometimes,6,"Yes, definitely",3,Not at all,Probably,3,5,5,AI on its own,"Yes, definitely","Yes, willing to pay",English,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
575,Low_Need_Indifferent,0,0,12-14,Expatriate resident,Sharjah,In school (middle/high school),Male,Never,4,Not sure,4,Not at all,Definitely not,1,3,2,AI on its own,No,Not sure,Both English and Arabic,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0
576,Distressed_Skeptic,0,0,18-20,Expatriate resident,Abu Dhabi,In college or university,Male,Often,6,Not sure,1,Somewhat,Definitely,3,2,2,Human professional only,Maybe,No,English,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0
577,Low_Need_Indifferent,0,0,25-27,International student (short-term),Abu Dhabi,Working professional,Prefer not to say,Sometimes,3,"Yes, definitely",4,Not really,Probably not,2,3,2,AI + human (hybrid),No,No,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
578,Low_Need_Indifferent,0,0,25-27,UAE National (Emirati),Dubai,Working professional,Male,Sometimes,1,"No, not really",3,"Yes, a lot",Probably not,1,2,1,Human professional only,No,Not sure,Arabic,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
579,Tech_Savvy_Trusting,0,0,18-20,Expatriate resident,Abu Dhabi,Currently not studying or working,Prefer not to say,Rarely,7,Somewhat,2,"Yes, a lot",Definitely,3,5,4,AI on its own,Maybe,"Yes, willing to pay",English,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1
580,Distressed_Skeptic,0,0,15-17,Expatriate resident,Dubai,In school (middle/high school),Female,Often,8,"No, not really",2,"Yes, a lot",Probably,3,2,2,AI + human (hybrid),No,No,English,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0
581,Resilient_Optimizer,0,1,21-24,UAE National (Emirati),Dubai,In college or university,Female,Sometimes,4,"Yes, definitely",3,Not really,Not sure,4,4,5,Human professional only,No,Only if free version available,Both English and Arabic,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
582,Tech_Savvy_Trusting,0,0,15-17,Expatriate resident,Dubai,Both studying and working,Female,Rarely,7,Somewhat,3,Not really,Definitely,5,4,5,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0
583,Distressed_Skeptic,0,0,21-24,International student (short-term),Dubai,Both studying and working,Male,Often,8,"No, not really",2,"Yes, a lot",Probably not,1,2,2,AI on its own,Maybe,No,English,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
584,Curious_Pragmatist,0,0,18-20,Expatriate resident,Dubai,In college or university,Male,Rarely,7,Somewhat,2,Not at all,Definitely,3,4,3,AI + human (hybrid),"Yes, definitely",Only if free version available,English,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1
585,Distressed_Skeptic,0,0,18-20,Expatriate resident,Abu Dhabi,Currently not studying or working,Female,Almost always,7,"No, not really",3,Somewhat,Not sure,2,2,2,Human professional only,No,Not sure,English,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0
586,Tech_Savvy_Trusting,0,0,15-17,UAE National (Emirati),Abu Dhabi,Both studying and working,Female,Rarely,8,Somewhat,4,Not at all,Definitely,5,4,3,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",Both English and Arabic,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
587,Resilient_Optimizer,0,0,21-24,Expatriate resident,Ras Al Khaimah,In college or university,Prefer not to say,Often,5,Somewhat,4,Not really,Probably,4,3,3,No preference,"Yes, definitely",Only if free version available,Both English and Arabic,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0
588,Resilient_Optimizer,0,0,18-20,Expatriate resident,Abu Dhabi,In college or university,Female,Rarely,6,"Yes, definitely",5,Not really,Probably not,4,3,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
589,Low_Need_Indifferent,0,0,25-27,International student (short-term),Abu Dhabi,Working professional,Male,Never,3,Somewhat,2,"Yes, a lot",Not sure,2,2,2,Human professional only,No,Only if free version available,Other,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
590,Low_Need_Indifferent,0,0,25-27,UAE National (Emirati),Ras Al Khaimah,Working professional,Female,Sometimes,2,Not sure,5,Not really,Not sure,2,3,2,No preference,No,Only if free version available,Both English and Arabic,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
591,Low_Need_Indifferent,0,0,18-20,Expatriate resident,Ras Al Khaimah,In school (middle/high school),Male,Rarely,4,Somewhat,3,Not really,Probably not,3,4,3,No preference,No,No,Both English and Arabic,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0
592,Curious_Pragmatist,0,0,18-20,Expatriate resident,Ras Al Khaimah,Currently not studying or working,Female,Never,7,Somewhat,2,Somewhat,Probably,5,3,4,AI on its own,"Yes, definitely","Yes, willing to pay",English,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
593,Resilient_Optimizer,0,0,21-24,Expatriate resident,Dubai,In college or university,Female,Never,3,"Yes, definitely",4,Not at all,Probably,3,3,3,AI + human (hybrid),"Yes, definitely",Only if free version available,English,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1
594,Low_Need_Indifferent,0,0,15-17,Expatriate resident,Ajman,Currently not studying or working,Female,Never,1,"No, not really",2,Not at all,Probably not,1,3,3,AI + human (hybrid),Maybe,No,Both English and Arabic,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0
595,Curious_Pragmatist,0,0,18-20,Expatriate resident,Ras Al Khaimah,In school (middle/high school),Prefer not to say,Often,7,Not sure,3,"Yes, a lot",Definitely,4,4,3,AI + human (hybrid),"Yes, definitely",Only if free version available,Other,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1
596,Curious_Pragmatist,0,0,18-20,International student (short-term),Sharjah,In college or university,Female,Never,6,"Yes, definitely",3,Not really,Definitely,5,2,4,Human professional only,Maybe,"Yes, willing to pay",Both English and Arabic,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
597,Distressed_Skeptic,0,0,15-17,Expatriate resident,Dubai,In school (middle/high school),Prefer not to say,Often,8,"No, not really",1,"Yes, a lot",Probably not,3,1,2,AI + human (hybrid),Maybe,Only if free version available,English,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
598,Low_Need_Indifferent,0,0,21-24,UAE National (Emirati),Abu Dhabi,In college or university,Female,Sometimes,4,Somewhat,4,"Yes, a lot",Probably not,1,3,3,No preference,Maybe,No,Both English and Arabic,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
599,Low_Need_Indifferent,0,0,18-20,Expatriate resident,Dubai,In college or university,Female,Rarely,3,"No, not really",4,Somewhat,Not sure,2,3,2,Human professional only,Maybe,No,Both English and Arabic,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
600,Curious_Pragmatist,0,0,15-17,UAE National (Emirati),Dubai,In college or university,Female,Almost always,5,Somewhat,5,Not really,Probably,3,4,3,AI + human (hybrid),"Yes, definitely",Only if free version available,Both English and Arabic,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1
601,Tech_Savvy_Trusting,0,0,18-20,International student (short-term),Sharjah,In college or university,Female,Often,10,"No, not really",5,Not really,Probably,4,5,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0
602,Low_Need_Indifferent,0,0,21-24,UAE National (Emirati),Sharjah,Currently not studying or working,Female,Never,4,"Yes, definitely",4,Somewhat,Definitely,2,4,3,Human professional only,No,Not sure,Both English and Arabic,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0
603,Curious_Pragmatist,0,0,18-20,Expatriate resident,Sharjah,Both studying and working,Female,Sometimes,6,Somewhat,3,Not really,Definitely,4,4,3,No preference,"Yes, definitely",Only if free version available,English,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1
604,Distressed_Skeptic,0,0,15-17,Expatriate resident,Abu Dhabi,In school (middle/high school),Female,Almost always,7,"No, not really",2,"Yes, a lot",Not sure,1,2,3,AI + human (hybrid),No,No,Both English and Arabic,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0
605,Distressed_Skeptic,0,0,15-17,UAE National (Emirati),Dubai,In school (middle/high school),Female,Often,6,Somewhat,2,"Yes, a lot",Probably not,2,1,2,AI + human (hybrid),Maybe,Only if free version available,Both English and Arabic,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
606,Distressed_Skeptic,0,0,18-20,Expatriate resident,Sharjah,In college or university,Female,Sometimes,8,Somewhat,2,"Yes, a lot",Probably not,1,1,2,AI + human (hybrid),No,No,Both English and Arabic,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1
607,Curious_Pragmatist,0,0,21-24,Expatriate resident,Sharjah,In college or university,Male,Sometimes,5,"Yes, definitely",3,Somewhat,Probably,3,4,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1
608,Curious_Pragmatist,0,0,18-20,International student (short-term),Abu Dhabi,In college or university,Male,Sometimes,6,Somewhat,3,Not at all,Probably,4,2,3,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0
609,Resilient_Optimizer,0,0,18-20,UAE National (Emirati),Dubai,Working professional,Prefer not to say,Rarely,5,"Yes, definitely",3,Somewhat,Definitely,3,4,3,AI + human (hybrid),Maybe,Only if free version available,Both English and Arabic,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
610,Curious_Pragmatist,0,0,18-20,Expatriate resident,Sharjah,In college or university,Female,Almost always,6,Not sure,3,Somewhat,Probably,4,4,4,AI + human (hybrid),"Yes, definitely","Yes, willing to pay",English,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
611,Tech_Savvy_Trusting,0,0,21-24,Expatriate resident,Dubai,Both studying and working,Prefer not to say,Often,9,Not sure,3,Not at all,Probably,5,5,4,AI + human (hybrid),"Yes, definitely",Only if free version available,Both English and Arabic,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
